Comment,Designator,Footprint,LCSC,Quantity
SK6812MINI,D6,MX_SK6812MINI-E,,1
SK6812MINI,D5,MX_SK6812MINI-E,,1
SK6812MINI,D4,MX_SK6812MINI-E,,1
SK6812MINI,D3,MX_SK6812MINI-E,,1
SK6812MINI,D2,MX_SK6812MINI-E,,1
SK6812MINI,D1,MX_SK6812MINI-E,,1
MountingHole_M3_3.2mm_Pad,H1,MountingHole_3.2mm_Pad,,1
MountingHole_M3_3.2mm_Pad,H2,MountingHole_3.2mm_Pad,,1
SW_Push,SW3,SW_Cherry_MX_1.00u_PCB,,1
SW_Push,SW5,SW_Cherry_MX_1.00u_PCB,,1
SSD1306,Brd1,128x64OLED,,1
MountingHole_M3_3.2mm_Pad,H4,MountingHole_3.2mm_Pad,,1
SW_Push,SW2,SW_Cherry_MX_1.00u_PCB,,1
SW_Push,SW1,SW_Cherry_MX_1.00u_PCB,,1
SW_Push,SW4,SW_Cherry_MX_1.00u_PCB,,1
MountingHole_M3_3.2mm_Pad,H3,MountingHole_3.2mm_Pad,,1
MOUDLE-SEEEDUINO-XIAO,U1,XIAO-Generic-Hybrid-14P-2.54-21X17.8MM,,1
